SWEAT index,K index,Totals totals index,Date,TH,Environmental Stability,Moisture Indices,Convective Potential,Temperature Pressure,Moisture Temperature Profiles
240.7,39.1,45.4,1981-09-01,1,-2.1999999999999997,67.3,4749.3,5805,994.54
277.3,42.1,50.8,1981-09-02,1,-4.6,63.0,2420.1,5801,995.07
219.1,38.9,47.4,1981-09-03,0,-3.6999999999999997,58.5,2283.1,5767,992.57
314.3,42.9,52.6,1981-09-04,0,-7.300000000000001,57.2,3972.6,5731,995.1
238.8,38.3,45.8,1981-09-05,1,0.7999999999999998,64.0,1758.3000000000002,5804,985.03
293.3,42.9,51.0,1981-09-06,0,-6.199999999999999,64.0,4865.4,5772,995.07
266.7,41.9,46.0,1981-09-07,0,1.8999999999999995,72.8,1286.5,5788,997.54
246.7,35.1,41.4,1981-09-08,0,1.7000000000000002,63.0,2121.4,5802,992.57
163.1,27.1,40.4,1981-09-09,0,-2.4,48.4,2432.9,5782,985.03
209.1,34.1,43.6,1981-09-10,1,-1.9000000000000004,51.8,2720.5,5788,992.6
189.4,33.3,45.6,1981-09-11,0,-4.3,49.6,3996.4,5764,992.6
204.8,29.8,48.0,1981-09-12,1,-5.3,44.1,3117.7000000000003,5758,982.5
229.2,34.5,48.2,1981-09-13,1,-5.2,55.5,3474.2000000000003,5779,987.53
216.3,31.4,49.8,1981-09-14,1,-5.5,48.3,2365.0,5755,990.13
271.4,41.3,51.4,1981-09-15,0,-5.4,63.4,2101.9,5793,995.1
138.9,26.7,40.4,1981-09-16,0,-5.5,40.8,2782.6,5707,995.1
201.8,35.3,47.2,1981-09-17,0,-2.1000000000000005,50.2,2228.6000000000004,5764,985.09
227.6,38.3,49.4,1981-09-18,1,-5.199999999999999,56.5,3255.3,5756,987.59
299.3,40.7,50.0,1981-09-19,0,1.6000000000000005,64.5,-47.1,5825,987.63
261.0,38.1,49.0,1981-09-20,0,-1.0,58.6,3038.9,5778,985.06
232.6,37.5,49.0,1981-09-21,0,-2.8,57.3,2349.2000000000003,5793,992.63
219.1,34.1,45.6,1981-09-22,1,0.09999999999999964,56.6,1486.1000000000001,5790,977.31
206.1,32.3,43.6,1981-09-23,0,-1.6000000000000005,51.5,2281.8,5790,982.44
332.2,37.7,53.8,1981-09-24,0,-10.8,49.4,3098.4,5797,971.94
402.7,46.9,54.2,1981-09-25,1,-4.800000000000001,71.2,4271.900000000001,5817,982.38
502.5,43.9,51.8,1981-09-26,0,-0.20000000000000018,59.5,11.9,5770,985.12
263.0,39.5,47.2,1981-09-27,0,-0.7999999999999998,65.1,3197.1000000000004,5788,992.63
205.4,20.8,47.8,1981-09-28,1,-6.4,41.9,2959.5,5750,987.63
188.2,26.3,39.6,1981-09-29,1,0.2999999999999998,42.0,2034.7,5775,987.59
264.4,40.5,50.8,1981-09-30,0,-1.4000000000000004,55.7,724.0,5764,980.12
158.8,12.8,43.6,1981-10-01,0,-5.1,37.0,2703.0,5744,986.45
212.0,34.1,41.8,1981-10-02,0,2.4000000000000004,50.5,3019.8,5753,966.78
157.2,17.8,35.6,1981-10-03,0,5.7,36.8,1049.4,5764,980.03
141.3,13.4,33.4,1981-10-04,0,5.7,36.8,1566.1,5766,964.1
31.0,-0.8,21.7,1981-10-05,0,9.4,25.8,292.3,5754,972.27
42.7,13.2,16.9,1981-10-06,0,11.6,28.3,96.9,5760,969.8
48.5,7.4,21.5,1981-10-07,0,12.899999999999999,29.0,-89.5,5770,956.41
27.2,0.6,23.0,1981-10-08,0,14.399999999999999,25.4,-117.99999999999999,5782,964.52
155.3,17.2,40.6,1981-10-09,0,4.1000000000000005,34.4,80.69999999999999,5728,980.24
93.9,10.2,32.4,1981-10-10,0,6.800000000000001,29.7,107.10000000000001,5736,967.33
147.5,10.0,34.4,1981-10-11,0,19.4,35.2,0.0,5834,967.33
157.1,17.0,39.6,1981-10-12,0,3.9999999999999996,35.1,268.5,5732,982.74
179.4,28.9,43.2,1981-10-13,0,1.2999999999999998,37.9,1304.1,5715,961.69
94.5,26.3,39.6,1981-10-14,0,-4.4,36.5,2103.0,5733,955.95
159.7,29.4,45.2,1981-10-15,0,-2.0999999999999996,35.7,1166.3999999999999,5688,972.52
184.6,29.6,45.4,1981-10-16,0,-2.5,39.9,1618.8,5714,987.72
89.9,5.2,35.0,1981-10-17,0,4.9,26.9,67.9,5722,959.18
47.3,-0.6,29.6,1981-10-18,0,9.6,27.1,0.0,5740,964.77
126.4,6.6,33.8,1981-10-19,0,10.7,32.0,-22.700000000000003,5752,959.18
67.3,2.2,30.6,1981-10-20,0,9.3,25.2,-23.700000000000003,5750,967.3
133.6,5.6,34.8,1981-10-21,0,14.100000000000001,30.1,-92.2,5742,948.59
127.5,1.4,31.4,1981-10-22,0,12.9,28.7,-50.3,5752,970.08
146.7,6.4,36.4,1981-10-23,0,11.1,28.4,0.0,5749,942.73
184.1,12.0,40.6,1981-10-24,0,12.299999999999999,36.6,-104.8,5778,962.08
188.3,34.9,45.8,1981-10-25,0,4.6,42.7,-11.399999999999991,5763,959.06
150.9,30.3,44.8,1981-10-26,0,-0.7999999999999998,39.9,826.0,5696,982.77
223.1,39.1,47.6,1981-10-27,0,7.0,50.7,-193.10000000000002,5731,936.84
158.8,26.4,42.8,1981-10-28,0,3.2,36.9,139.4,5714,953.84
167.1,25.5,41.6,1981-10-29,0,10.0,39.4,0.0,5770,939.9
40.7,16.3,28.3,1981-10-30,0,10.4,22.9,0.0,5735,919.33
52.4,13.8,32.1,1981-10-31,0,6.5,22.4,0.0,5695,965.1
71.6,17.6,37.2,1981-11-01,0,5.0,24.3,0.0,5671,987.79
137.8,20.0,38.2,1981-11-02,0,15.7,27.1,0.0,5747,931.84
175.1,14.6,41.2,1981-11-03,0,8.2,32.8,0.0,5759,956.62
196.6,27.6,44.6,1981-11-04,0,2.5,41.2,616.1,5749,972.4
193.4,24.6,44.2,1981-11-05,0,0.3999999999999999,36.4,1158.7,5699,972.37
232.2,21.4,48.6,1981-11-06,0,12.8,38.5,0.0,5737,916.49
114.8,18.2,44.0,1981-11-07,0,2.4000000000000004,29.6,-151.8,5678,959.73
62.1,2.2,27.7,1981-11-08,0,13.8,22.9,-345.5,5713,954.45
54.3,5.2,26.7,1981-11-09,0,14.1,23.9,-218.4,5706,951.77
86.0,7.4,34.4,1981-11-10,0,9.5,27.8,0.0,5706,970.47
82.2,9.2,31.4,1981-11-11,0,12.2,23.9,0.0,5679,965.23
56.3,9.4,24.3,1981-11-12,0,5.2,20.0,7.299999999999997,5633,954.51
